District,Police Station,Year,FIR No.,Registration Date,FIR No,Sections,Address,Crime_Section,Latitude,Longitude
THANE CITY,AMBERNATH,2024,345,01/03/2024 16:54:07,0345/2024,"गुंगीकारक औषधीदव्‍य आणि मनोव्‍यापारावर परिणाम करणारे प्रदार्थ अधिनियम, १९८५ - 27,8(c)","Dagdusheth Halwai Temple Road, AMBERNATH",Drug Offense,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,344,28/02/2024 15:21:06,0344/2024,भारतीय विद्युत अधिनियम (सुधारणा) २००३ - 135,"Dagdusheth Halwai Temple Road, AMBERNATH",Electricity Offense,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,343,28/02/2024 13:22:28,0343/2024,भारतीय विद्युत अधिनियम (सुधारणा) २००३ - 135,"Near Theatre, AMBERNATH",Electricity Offense,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,342,28/02/2024 03:46:44,0342/2024,"महाराष्ट्र दारूबंदी अधिनियम,१९४९ - 65(e)","Dagdusheth Halwai Temple Road, AMBERNATH",Prohibition Offense,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,340,27/02/2024 16:44:44,0340/2024,"भारतीय दंड संहिता १८६० - ३४,४२०","Vivekananda Street, AMBERNATH",Theft/Robbery,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,339,26/02/2024 01:03:35,0339/2024,"भारतीय दंड संहिता १८६० - ३०२,३४","Near Theatre, AMBERNATH",Murder,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,338,25/02/2024 19:10:01,0338/2024,"भारतीय दंड संहिता १८६० - ३८०,४५४,४५७","Dagdusheth Halwai Temple Road, AMBERNATH",Theft/Robbery,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,337,23/02/2024 15:31:13,0337/2024,"भारतीय दंड संहिता १८६० - ३२३,३२४,३४,५०४","Dagdusheth Halwai Temple Road, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,336,22/02/2024 20:38:58,0336/2024,"भारतीय दंड संहिता १८६० - ३२३,४५२,५०४","Dagdusheth Halwai Temple Road, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,335,22/02/2024 19:58:35,0335/2024,भारतीय दंड संहिता १८६० - ३७९,"Vivekananda Street, AMBERNATH",Theft/Robbery,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,334,21/02/2024 21:03:17,0334/2024,भारतीय दंड संहिता १८६० - ३७९,"Near Theatre, AMBERNATH",Theft/Robbery,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,333,21/02/2024 16:49:06,0333/2024,"गुंगीकारक औषधीदव्‍य आणि मनोव्‍यापारावर परिणाम करणारे प्रदार्थ अधिनियम, १९८५ - 27,8(c)","Vivekananda Street, AMBERNATH",Drug Offense,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,332,21/02/2024 15:22:08,0332/2024,भारतीय दंड संहिता १८६० - ४२०,"Near Theatre, AMBERNATH",Theft/Robbery,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,331,21/02/2024 13:35:38,0331/2024,"भारतीय दंड संहिता १८६० - ३२३,३२४,३४,506(2),५०४","Vivekananda Street, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,330,20/02/2024 23:59:45,0330/2024,भारतीय दंड संहिता १८६० - ३६३,"Dagdusheth Halwai Temple Road, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,329,19/02/2024 23:12:14,0329/2024,"भारतीय दंड संहिता १८६० - ३०७,५०४","Vivekananda Street, AMBERNATH",Murder,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,328,19/02/2024 02:50:47,0328/2024,"भारतीय दंड संहिता १८६० - २७९,३३८ ; मोटरवाहन अधिनियम, १९८८ - 134(A),134(B)","Near Theatre, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,327,19/02/2024 02:06:03,0327/2024,"भारतीय दंड संहिता १८६० - ३३६,३३७,३४,४२७,506(2),५०४","Vivekananda Street, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,326,18/02/2024 14:11:57,0326/2024,"भारतीय दंड संहिता १८६० - ३२३,३२५,३४,५०४,५०६","Dagdusheth Halwai Temple Road, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,325,18/02/2024 01:35:56,0325/2024,"भारतीय दंड संहिता १८६० - ३२३,३२५,५०४","Vivekananda Street, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,324,17/02/2024 20:08:04,0324/2024,"गुंगीकारक औषधीदव्‍य आणि मनोव्‍यापारावर परिणाम करणारे प्रदार्थ अधिनियम, १९८५ - 27,8(c)","Vivekananda Street, AMBERNATH",Drug Offense,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,323,17/02/2024 19:31:08,0323/2024,"गुंगीकारक औषधीदव्‍य आणि मनोव्‍यापारावर परिणाम करणारे प्रदार्थ अधिनियम, १९८५ - 27,8(c)","Near Theatre, AMBERNATH",Drug Offense,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,322,17/02/2024 17:02:28,0322/2024,भारतीय दंड संहिता १८६० - ३७९,"Near Theatre, AMBERNATH",Theft/Robbery,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,321,16/02/2024 22:43:34,0321/2024,भारतीय दंड संहिता १८६० - २८५,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,320,16/02/2024 22:28:24,0320/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,319,16/02/2024 22:11:42,0319/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,318,16/02/2024 15:06:16,0318/2024,भारतीय विद्युत अधिनियम (सुधारणा) २००३ - 135,"Dagdusheth Halwai Temple Road, AMBERNATH",Electricity Offense,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,317,16/02/2024 03:08:39,0317/2024,"महाराष्ट्र दारूबंदी अधिनियम,१९४९ - 85(1)(a)","Vivekananda Street, AMBERNATH",Prohibition Offense,19.0905199171336,72.79421689990727
